1,160,0
2,160,160
3,160,320
4,160,480
5,160,640
6,160,800
7,160,960
8,160,1120
9,160,1280
10,160,1440
11,160,1600
12,160,1760
13,160,1920
14,160,2080
15,160,2240
16,160,2400
17,160,2560
18,160,2720
19,0,320
20,0,480
21,0,640
22,0,800
23,480,480
24,480,640
25,480,800
26,320,960
27,320,1120
28,320,1280
29,320,1440
30,320,1600
31,320,1760
32,320,1920
33,320,2080
2056,174,168
2057,182,174
2058,170,164
2059,196,188
2060,196,188
2061,185,178
2062,199,185
2063,206,177
2064,216,168
2065,220,164
2066,220,164
2067,210,173
2068,224,212
2069,220,217
2070,232,204
2071,235,200
2072,241,195
2073,224,248
2074,212,232
2075,218,241
2076,207,229
2077,215,236
2078,226,250
2079,183,251
2080,253,226
2081,197,269
2082,193,264
2083,186,257
2084,265,216
2085,247,231
2086,258,221
2087,198,288
2088,285,205
2089,243,236
2090,291,201
2091,279,207
2092,270,211
2093,202,293
2094,232,290
2095,238,285
2096,254,270
2097,229,292
2098,267,259
2099,195,284
2100,262,263
2101,206,297
2102,275,253
2103,220,300
2104,224,297
2105,294,240
2106,249,274
2107,280,250
2108,303,236
2109,241,282
2110,290,243
3056,174,328
3057,182,334
3058,170,324
3059,196,348
3060,196,348
3061,185,338
3062,199,345
3063,206,337
3064,216,328
3065,220,324
3066,220,324
3067,210,333
3068,224,372
3069,220,377
3070,232,364
3071,235,360
3072,241,355
3073,224,408
3074,212,392
3075,218,401
3076,207,389
3077,215,396
3078,226,410
3079,183,411
3080,253,386
3081,197,429
3082,193,424
3083,186,417
3084,265,376
3085,247,391
3086,258,381
3087,198,448
3088,285,365
3089,243,396
3090,291,361
3091,279,367
3092,270,371
3093,202,453
3094,232,450
3095,238,445
3096,254,430
3097,229,452
3098,267,419
3099,195,444
3100,262,423
3101,206,457
3102,275,413
3103,220,460
3104,224,457
3105,294,400
3106,249,434
3107,280,410
3108,303,396
3109,241,442
3110,290,403
4056,174,488
4057,182,494
4058,170,484
4059,196,508
4060,196,508
4061,185,498
4062,199,505
4063,206,497
4064,216,488
4065,220,484
4066,220,484
4067,210,493
4068,224,532
4069,220,537
4070,232,524
4071,235,520
4072,241,515
4073,224,568
4074,212,552
4075,218,561
4076,207,549
4077,215,556
4078,226,570
4079,183,571
4080,253,546
4081,197,589
4082,193,584
4083,186,577
4084,265,536
4085,247,551
4086,258,541
4087,198,608
4088,285,525
4089,243,556
4090,291,521
4091,279,527
4092,270,531
4093,202,613
4094,232,610
4095,238,605
4096,254,590
4097,229,612
4098,267,579
4099,195,604
4100,262,583
4101,206,617
4102,275,573
4103,220,620
4104,224,617
4105,294,560
4106,249,594
4107,280,570
4108,303,556
4109,241,602
4110,290,563
5056,174,648
5057,182,654
5058,170,644
5059,196,668
5060,196,668
5061,185,658
5062,199,665
5063,206,657
5064,216,648
5065,220,644
5066,220,644
5067,210,653
5068,224,692
5069,220,697
5070,232,684
5071,235,680
5072,241,675
5073,224,728
5074,212,712
5075,218,721
5076,207,709
5077,215,716
5078,226,730
5079,183,731
5080,253,706
5081,197,749
5082,193,744
5083,186,737
5084,265,696
5085,247,711
5086,258,701
5087,198,768
5088,285,685
5089,243,716
5090,291,681
5091,279,687
5092,270,691
5093,202,773
5094,232,770
5095,238,765
5096,254,750
5097,229,772
5098,267,739
5099,195,764
5100,262,743
5101,206,777
5102,275,733
5103,220,780
5104,224,777
5105,294,720
5106,249,754
5107,280,730
5108,303,716
5109,241,762
5110,290,723
6056,174,808
6057,182,814
6058,170,804
6059,196,828
6060,196,828
6061,185,818
6062,199,825
6063,206,817
6064,216,808
6065,220,804
6066,220,804
6067,210,813
6068,224,852
6069,220,857
6070,232,844
6071,235,840
6072,241,835
6073,224,888
6074,212,872
6075,218,881
6076,207,869
6077,215,876
6078,226,890
6079,183,891
6080,253,866
6081,197,909
6082,193,904
6083,186,897
6084,265,856
6085,247,871
6086,258,861
6087,198,928
6088,285,845
6089,243,876
6090,291,841
6091,279,847
6092,270,851
6093,202,933
6094,232,930
6095,238,925
6096,254,910
6097,229,932
6098,267,899
6099,195,924
6100,262,903
6101,206,937
6102,275,893
6103,220,940
6104,224,937
6105,294,880
6106,249,914
6107,280,890
6108,303,876
6109,241,922
6110,290,883
7056,174,968
7057,182,974
7058,170,964
7059,196,988
7060,196,988
7061,185,978
7062,199,985
7063,206,977
7064,216,968
7065,220,964
7066,220,964
7067,210,973
7068,224,1012
7069,220,1017
7070,232,1004
7071,235,1000
7072,241,995
7073,224,1048
7074,212,1032
7075,218,1041
7076,207,1029
7077,215,1036
7078,226,1050
7079,183,1051
7080,253,1026
7081,197,1069
7082,193,1064
7083,186,1057
7084,265,1016
7085,247,1031
7086,258,1021
7087,198,1088
7088,285,1005
7089,243,1036
7090,291,1001
7091,279,1007
7092,270,1011
7093,202,1093
7094,232,1090
7095,238,1085
7096,254,1070
7097,229,1092
7098,267,1059
7099,195,1084
7100,262,1063
7101,206,1097
7102,275,1053
7103,220,1100
7104,224,1097
7105,294,1040
7106,249,1074
7107,280,1050
7108,303,1036
7109,241,1082
7110,290,1043
8056,174,1128
8057,182,1134
8058,170,1124
8059,196,1148
8060,196,1148
8061,185,1138
8062,199,1145
8063,206,1137
8064,216,1128
8065,220,1124
8066,220,1124
8067,210,1133
8068,224,1172
8069,220,1177
8070,232,1164
8071,235,1160
8072,241,1155
8073,224,1208
8074,212,1192
8075,218,1201
8076,207,1189
8077,215,1196
8078,226,1210
8079,183,1211
8080,253,1186
8081,197,1229
8082,193,1224
8083,186,1217
8084,265,1176
8085,247,1191
8086,258,1181
8087,198,1248
8088,285,1165
8089,243,1196
8090,291,1161
8091,279,1167
8092,270,1171
8093,202,1253
8094,232,1250
8095,238,1245
8096,254,1230
8097,229,1252
8098,267,1219
8099,195,1244
8100,262,1223
8101,206,1257
8102,275,1213
8103,220,1260
8104,224,1257
8105,294,1200
8106,249,1234
8107,280,1210
8108,303,1196
8109,241,1242
8110,290,1203
9056,174,1288
9057,182,1294
9058,170,1284
9059,196,1308
9060,196,1308
9061,185,1298
9062,199,1305
9063,206,1297
9064,216,1288
9065,220,1284
9066,220,1284
9067,210,1293
9068,224,1332
9069,220,1337
9070,232,1324
9071,235,1320
9072,241,1315
9073,224,1368
9074,212,1352
9075,218,1361
9076,207,1349
9077,215,1356
9078,226,1370
9079,183,1371
9080,253,1346
9081,197,1389
9082,193,1384
9083,186,1377
9084,265,1336
9085,247,1351
9086,258,1341
9087,198,1408
9088,285,1325
9089,243,1356
9090,291,1321
9091,279,1327
9092,270,1331
9093,202,1413
9094,232,1410
9095,238,1405
9096,254,1390
9097,229,1412
9098,267,1379
9099,195,1404
9100,262,1383
9101,206,1417
9102,275,1373
9103,220,1420
9104,224,1417
9105,294,1360
9106,249,1394
9107,280,1370
9108,303,1356
9109,241,1402
9110,290,1363
10056,174,1448
10057,182,1454
10058,170,1444
